name,species,weapon,base_strength
Alliance Operative 01,Human,Bare Hands,1
Droid Unit 25,Droid,Bare Hands,5
Kashyyyk Warrior 22,Wookie,Bare Hands,2
Alliance Operative 20,Human,Lightsaber,5
Kashyyyk Warrior 41,Wookie,Bare Hands,1
Droid Unit 17,Droid,Lightsaber,2
Kashyyyk Warrior 14,Wookie,Bowcaster,4
Alliance Operative 39,Human,Lightsaber,4
Alliance Operative 12,Human,Bowcaster,2
Droid Unit 36,Droid,Lightsaber,1
Kashyyyk Warrior 33,Wookie,Bowcaster,3
Droid Unit 09,Droid,Blaster,4
Kashyyyk Warrior 06,Wookie,Blaster,1
Alliance Operative 31,Human,Bowcaster,1
Alliance Operative 04,Human,Bare Hands,4
Droid Unit 28,Droid,Blaster,3
Kashyyyk Warrior 25,Wookie,Bare Hands,5
Droid Unit 01,Droid,Bare Hands,1
Alliance Operative 23,Human,Bare Hands,3
Droid Unit 20,Droid,Lightsaber,5
Kashyyyk Warrior 17,Wookie,Lightsaber,2
Alliance Operative 15,Human,Bowcaster,5
Droid Unit 39,Droid,Lightsaber,4
Kashyyyk Warrior 36,Wookie,Lightsaber,1
Droid Unit 12,Droid,Bowcaster,2
Kashyyyk Warrior 09,Wookie,Blaster,4
Alliance Operative 34,Human,Bowcaster,4
Alliance Operative 07,Human,Blaster,2
Droid Unit 31,Droid,Bowcaster,1
Kashyyyk Warrior 28,Wookie,Blaster,3
Droid Unit 04,Droid,Bare Hands,4
Kashyyyk Warrior 01,Wookie,Bare Hands,1
Alliance Operative 26,Human,Blaster,1
Droid Unit 23,Droid,Bare Hands,3
Kashyyyk Warrior 20,Wookie,Lightsaber,5
Alliance Operative 18,Human,Lightsaber,3
Kashyyyk Warrior 39,Wookie,Lightsaber,4
Droid Unit 15,Droid,Bowcaster,5
Kashyyyk Warrior 12,Wookie,Bowcaster,2
Alliance Operative 37,Human,Lightsaber,2
Alliance Operative 10,Human,Blaster,5
Droid Unit 34,Droid,Bowcaster,4
Kashyyyk Warrior 31,Wookie,Bowcaster,1
Droid Unit 07,Droid,Blaster,2
Kashyyyk Warrior 04,Wookie,Bare Hands,4
Alliance Operative 29,Human,Blaster,4
Alliance Operative 02,Human,Bare Hands,2
Droid Unit 26,Droid,Blaster,1
Kashyyyk Warrior 23,Wookie,Bare Hands,3
Alliance Operative 21,Human,Bare Hands,1
Droid Unit 18,Droid,Lightsaber,3
Kashyyyk Warrior 15,Wookie,Bowcaster,5
Alliance Operative 13,Human,Bowcaster,3
Droid Unit 37,Droid,Lightsaber,2
Kashyyyk Warrior 34,Wookie,Bowcaster,4
Droid Unit 10,Droid,Blaster,5
Kashyyyk Warrior 07,Wookie,Blaster,2
Alliance Operative 32,Human,Bowcaster,2
Alliance Operative 05,Human,Bare Hands,5
Droid Unit 29,Droid,Blaster,4
Kashyyyk Warrior 26,Wookie,Blaster,1
Droid Unit 02,Droid,Bare Hands,2
Alliance Operative 24,Human,Bare Hands,4
Droid Unit 21,Droid,Bare Hands,1
Kashyyyk Warrior 18,Wookie,Lightsaber,3
Alliance Operative 16,Human,Lightsaber,1
Droid Unit 40,Droid,Lightsaber,5
Kashyyyk Warrior 37,Wookie,Lightsaber,2
Droid Unit 13,Droid,Bowcaster,3
Kashyyyk Warrior 10,Wookie,Blaster,5
Alliance Operative 35,Human,Bowcaster,5
Alliance Operative 08,Human,Blaster,3
Droid Unit 32,Droid,Bowcaster,2
Kashyyyk Warrior 29,Wookie,Blaster,4
Droid Unit 05,Droid,Bare Hands,5
Kashyyyk Warrior 02,Wookie,Bare Hands,2
Alliance Operative 27,Human,Blaster,2
